script,Boat.CrewXPos,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.TWS_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
modified_Script269.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,895,1.5,0,0,0
modified_Script27.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,896,2.5,0,0,0
modified_Script270.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,895,2.5,0,0,0
modified_Script271.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,895,0.5,0,0,0
modified_Script272.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,895,1.5,0,0,0
modified_Script273.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,895,2.5,0,0,0
modified_Script274.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,895,0.5,0,0,0
modified_Script275.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,895,1.5,0,0,0
modified_Script276.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,895,2.5,0,0,0
modified_Script277.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,895,0.5,0,0,0
modified_Script278.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,895,1.5,0,0,0
modified_Script279.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,895,2.5,0,0,0
modified_Script28.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,896,0.5,0,0,0
modified_Script280.csv,10,0,0,0,0.5,21.1,-0.4,3.8,26,895,0.5,0,0,0
modified_Script281.csv,10,0,0,0,0.5,21.1,-0.4,3.8,26,895,1.5,0,0,0
modified_Script282.csv,10,0,0,0,0.5,21.1,-0.4,3.8,26,895,2.5,0,0,0
modified_Script283.csv,10,0,0,0,0.5,21.1,-0.4,3.8,28,895,0.5,0,0,0
modified_Script284.csv,10,0,0,0,0.5,21.1,-0.4,3.8,28,895,1.5,0,0,0
modified_Script285.csv,10,0,0,0,0.5,21.1,-0.4,3.8,28,895,2.5,0,0,0
modified_Script286.csv,10,0,0,0,0.5,21.1,-0.4,3.8,30,895,0.5,0,0,0
modified_Script287.csv,10,0,0,0,0.5,21.1,-0.4,3.8,30,895,1.5,0,0,0
modified_Script288.csv,10,0,0,0,0.5,21.1,-0.4,3.8,30,895,2.5,0,0,0
modified_Script289.csv,10,0,0,0,0.5,21.1,-0.4,4.0,24,895,0.5,0,0,0
modified_Script29.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,896,1.5,0,0,0
modified_Script290.csv,10,0,0,0,0.5,21.1,-0.4,4.0,24,895,1.5,0,0,0
modified_Script291.csv,10,0,0,0,0.5,21.1,-0.4,4.0,24,895,2.5,0,0,0
modified_Script292.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,895,0.5,0,0,0
modified_Script293.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,895,1.5,0,0,0
modified_Script294.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,895,2.5,0,0,0
modified_Script295.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,895,0.5,0,0,0
modified_Script296.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,895,1.5,0,0,0
modified_Script297.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,895,2.5,0,0,0
modified_Script298.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,895,0.5,0,0,0
modified_Script299.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,895,1.5,0,0,0
modified_Script3.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,896,2.5,0,0,0
modified_Script30.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,896,2.5,0,0,0
modified_Script300.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,895,2.5,0,0,0
modified_Script301.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,809,0.5,0,0,0
modified_Script302.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,809,1.5,0,0,0
modified_Script303.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,809,2.5,0,0,0
modified_Script304.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,809,0.5,0,0,0
modified_Script305.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,809,1.5,0,0,0
modified_Script306.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,809,2.5,0,0,0
modified_Script307.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,809,0.5,0,0,0
modified_Script308.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,809,1.5,0,0,0
modified_Script309.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,809,2.5,0,0,0
modified_Script31.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,896,0.5,0,0,0
modified_Script310.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,809,0.5,0,0,0
modified_Script311.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,809,1.5,0,0,0
modified_Script312.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,809,2.5,0,0,0
modified_Script313.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,809,0.5,0,0,0
modified_Script314.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,809,1.5,0,0,0
modified_Script315.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,809,2.5,0,0,0
modified_Script316.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,809,0.5,0,0,0
modified_Script317.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,809,1.5,0,0,0
modified_Script318.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,809,2.5,0,0,0
modified_Script319.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,809,0.5,0,0,0
modified_Script32.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,896,1.5,0,0,0
modified_Script320.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,809,1.5,0,0,0
modified_Script321.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,809,2.5,0,0,0
modified_Script322.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,809,0.5,0,0,0
modified_Script323.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,809,1.5,0,0,0
modified_Script324.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,809,2.5,0,0,0
modified_Script325.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,809,0.5,0,0,0
modified_Script326.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,809,1.5,0,0,0
modified_Script327.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,809,2.5,0,0,0
modified_Script328.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,809,0.5,0,0,0
modified_Script329.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,809,1.5,0,0,0
modified_Script33.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,896,2.5,0,0,0
modified_Script330.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,809,2.5,0,0,0
modified_Script331.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,809,0.5,0,0,0
modified_Script332.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,809,1.5,0,0,0
modified_Script333.csv,10,0,0,0,0.5,21.1,-0.4,3.5,28,809,2.5,0,0,0
modified_Script334.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,809,0.5,0,0,0
modified_Script335.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,809,1.5,0,0,0
modified_Script336.csv,10,0,0,0,0.5,21.1,-0.4,3.5,30,809,2.5,0,0,0
modified_Script337.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,809,0.5,0,0,0
modified_Script338.csv,10,0,0,0,0.5,21.1,-0.4,3.8,24,809,1.5,0,0,0
